name,house,start of reign,end of reign,domain
Wehha,Wuffingas,,571,East Anglia
Wuffa,Wuffingas,571,578,East Anglia
Tytila,Wuffingas,578,616,East Anglia
Rædwald,Wuffingas,616,627,East Anglia
Eorpwald,Wuffingas,627,627,East Anglia
Ricberht,Wuffingas,627,630,East Anglia
Sigeberht and Ecgric,Wuffingas,630,634,East Anglia
Ecgric,Wuffingas,634,,East Anglia
Anna,Wuffingas,,653,East Anglia
Æthelhere,Wuffingas,653,655,East Anglia
Æthelwold,Wuffingas,655,663,East Anglia
Ealdwulf,Wuffingas,663,713,East Anglia
Ælfwald,Wuffingas,713,749,East Anglia
"Hun, Beonna and Alberht",Wuffingas,749,,East Anglia
Æthelred I,Wuffingas,,779,East Anglia
Æthelberht II,Wuffingas,779,794,East Anglia
Offa,Mercia,757,785,"East Anglia, Mercia"
Offa,Mercia,785,787,"East Anglia, Kent, Mercia"
Offa and Ecgfrith,Mercia,787,796,"East Anglia, Kent, Mercia"
Ecgfrith,Mercia,796,796,"East Anglia, Kent, Mercia"
Eadwald,East Anglia,796,800,East Anglia
Cœnwulf,Mercia,796,798,"East Anglia, Kent, Mercia"
Cœnwulf and Cynehelm,Mercia,798,812,"East Anglia, Kent, Mercia"
Cœnwulf,Mercia,812,821,"East Anglia, Kent, Mercia"
Ceolwulf,Mercia,821,823,"East Anglia, Kent, Mercia"
Beornwulf,Mercia,823,826,"East Anglia, Mercia"
Æthelstan,East Anglia,826,845,East Anglia
Æthelweard,East Anglia,845,855,East Anglia
Edmund,East Anglia,855,869,East Anglia
,,869,875,East Anglia
Oswald,Norse,875,875,East Anglia
Æthelred II,Norse,875,879,East Anglia
Guthrum,Dane,879,890,East Anglia
Eohric,Dane,890,902,East Anglia
Æthelwold,Dane,902,902,East Anglia
Guthrum II,Dane,902,918,East Anglia
Aescwine,East Saxon,527,587,Essex
Sledda,East Saxon,587,604,Essex
Saebert,East Saxon,604,616,Essex
Saeward,East Saxon,616,617,Essex
Sigeberht the Little,East Saxon,617,653,Essex
Sigeberht the Good,East Saxon,653,660,Essex
Swithelm,East Saxon,660,664,Essex
Sighere and Sebbi,East Saxon,664,683,Essex
Sebbi,East Saxon,683,694,Essex
Sigeheard,East Saxon,694,695,Essex
Sigeheard and Swaefred,East Saxon,695,709,Essex
Offa,East Saxon,709,709,Essex
Saelred,East Saxon,709,715,Essex
Swaefbert,East Saxon,715,738,Essex
,,738,746,Essex
Svvithred,East Saxon,746,758,Essex
Sigeric,East Saxon,758,798,Essex
Sigered,East Saxon,798,812,Essex
Hengist,Kent,,,Kent
Horsa,Kent,,,Kent
Oisc,Kent,,,Kent
Octa,Kent,512,534,Kent
Eormenric,Kent,534,590,Kent
Æðelberht I,Kent,590,616,Kent
Eadbald,Kent,616,640,Kent
Æðelwald,Kent,,,Kent
Eorcenberht and Eormenred,Kent,640,,Kent
Eorcenberht,Kent,,664,Kent
Ecgbehrt I,Kent,664,673,Kent
Hlothhere,Kent,674,685,Kent
Eadric,Kent,685,686,Kent
Mul,Kent,686,687,Kent
Swæfheard,Kent,687,689,Kent
"Oswine, Swæfbehrt, Swæfheard",Kent,689,690,Kent
"Swæfbehrt, Swæfheard, Wihtred",Kent,689,692,Kent
Wihtred,Kent,692,725,Kent
"Æðelberht II, Ælfric and Eadberht I",Kent,725,748,Kent
Æðelberht II and Eardwulf,Kent,748,762,Kent
"Eadberht II, Eanmund and Sigered",Kent,762,764,Kent
Heaberht,Kent,764,765,Kent
Heaberht and Ecgbehrt II,Kent,765,779,Kent
Ealhmund,Kent,,785,Kent
Ecgbehrt III Præn,Kent,796,798,Kent
Cuðred,Kent,798,807,Kent
Baldred,Kent,823,825,Kent
Ecgbehrt and Æthelwulf,Cerdicing,825,829,"Kent, Wessex"
Ecgbehrt and Æthelwulf,Cerdicing,829,830,"Kent, Mercia, Wessex"
Ecgbehrt and Æthelwulf,Cerdicing,830,839,"Kent, Wessex"
Æthelwulf and Æðelstan I,Cerdicing,839,851,"Kent, Wessex"
Æthelwulf,Cerdicing,851,855,"Kent, Wessex"
Æthelwulf and Æðelberht III,Cerdicing,855,858,"Kent, Wessex"
Æðelberht III,Cerdicing,858,866,"Kent, Wessex"
Æthelred I,Cerdicing,866,871,"Kent, Wessex"
Cearl,Mercia,606,,Mercia
Penda,Mercia,626,635,Mercia
Penda and Eowa,Mercia,635,642,Mercia
Penda,Mercia,642,653,Mercia
Penda and Peada,Mercia,653,655,Mercia
Oswiu,Bernicia,655,658,"Mercia, Northumbria"
Wulfhere,Mercia,658,675,Mercia
Æthelred I,Mercia,675,704,Mercia
Coenred,Mercia,704,709,Mercia
Ceolred,Mercia,709,716,Mercia
Ceolwald,Mercia,716,716,Mercia
Æthelbald,Mercia,716,757,Mercia
Beornred,Mercia,757,757,Mercia
Ludeca,Mercia,826,827,Mercia
Wiglaf,Mercia,827,829,Mercia
Wiglaf,Mercia,830,839,Mercia
Wigmund,Mercia,839,840,Mercia
Wigstan,Mercia,840,840,Mercia
Ælfflæd,Mercia,840,840,Mercia
Beorhtwulf,Mercia,840,852,Mercia
Burgred,Mercia,852,874,Mercia
Ceolwulf II,Mercia,874,879,Mercia
,Mercia,879,883,Mercia
"Æthelred, Lord of the Mercians",Mercia,883,911,Mercia
"Æthelflæd, Lady of the Mercians",Mercia,911,918,Mercia
"Ælfwynn, Second Lady of the Mercians",Mercia,918,918,Mercia
Esa,Bernicia,500,520,Bernicia
Eoppa,Bernicia,520,547,Bernicia
Ida,Bernicia,547,559,Bernicia
Glappa,Bernicia,559,560,Bernicia
Adda,Bernicia,560,568,Bernicia
Æthelric,Bernicia,568,572,Bernicia
Theodric,Bernicia,572,579,Bernicia
Frithuwald,Bernicia,579,585,Bernicia
Hussa,Bernicia,585,593,Bernicia
Æthelfrith,Bernicia,593,616,Northumbria
Edwin,Deira,616,632,Northumbria
Eanfrith,Bernicia,632,633,Bernicia
Oswald,Bernicia,634,642,Northumbria
Oswiu,Bernicia,642,644,Northumbria
Oswiu,Bernicia,644,654,Bernicia
Oswiu,Bernicia,654,655,Northumbria
Oswiu,Bernicia,658,670,Northumbria
Ælla,Deira,559,589,Deira
Æthelric,Deira,589,604,Deira
Osric,Deira,633,634,Deira
Oswine,Deira,644,651,Northumbria
Æthelwold,Deira,651,654,Northumbria
Alchfrith,Deira,656,664,Deira
Ælfwine,Deira,670,679,Deira
Ecgfrith,Northumbria,670,685,Northumbria
Aldfrith,Northumbria,685,704,Northumbria
Eadwulf,Northumbria,704,705,Northumbria
Osred I,Northumbria,705,716,Northumbria
Coenred,Northumbria,716,718,Northumbria
Osric,Northumbria,718,729,Northumbria
Coelwulf,Northumbria,729,731,Northumbria
Coelwulf,Northumbria,731,737,Northumbria
Eadberht,Northumbria,737,758,Northumbria
Oswulf,Northumbria,758,759,Northumbria
Æthelwald Moll,Northumbria,759,765,Northumbria
Alhred,Northumbria,765,774,Northumbria
Æthelred I,Northumbria,774,779,Northumbria
Æthelwald I,Northumbria,779,788,Northumbria
Osred II,Northumbria,788,790,Northumbria
Æthelred I,Northumbria,790,796,Northumbria
Osbald,Northumbria,796,796,Northumbria
Eardwulf,Northumbria,796,806,Northumbria
Ælfwald II,Northumbria,806,808,Northumbria
Eardwulf,Northumbria,808,810,Northumbria
Eanred,Northumbria,810,841,Northumbria
Æthelred II,Northumbria,841,844,Northumbria
Rædwulf,Northumbria,844,844,Northumbria
Æthelred II,Northumbria,844,849,Northumbria
Osberht,Northumbria,849,862,Northumbria
Ælle II,Northumbria,862,867,Northumbria
Osberht,Northumbria,867,867,Northumbria
Ecgberht I,Norse,867,872,Northumbria
Ricsige,Norse,872,876,Northumbria
Ecgberht II,Norse,876,878,Northumbria
Guðroðr,Norse,878,895,Northumbria
Sigfroðr,Norse,,,Northumbria
Knútr,Norse,,,Northumbria
Æthelwold,Norse,900,902,Northumbria
Hálfdan and Eowils,Norse,902,910,Northumbria
Eadwulf II,Norse,910,913,Northumbria
Ealdred,Norse,913,918,Northumbria
Ragnall ua Ímair,Norse,914,921,Northumbria
Sigtrygg Caech,Norse,921,927,Northumbria
Amlaíb mac Gofraid,Norse,939,941,Northumbria
Amlaíb Cuarán,Norse,941,944,Northumbria
Ragnall mac Gofraid,Norse,943,944,Northumbria
Eric,Norse,947,948,Northumbria
Amlaíb Cuarán,Norse,949,952,Northumbria
Eric,Norse,952,954,Northumbria
Eadred,Norse,954,954,Northumbria
Ælle,South Saxon,477,514,Sussex
Cissa,South Saxon,514,567,Sussex
,,567,660,Sussex
Æðelwealh,South Saxon,660,685,Sussex
Eadwulf,South Saxon,683,683,Sussex
Ecgwald,South Saxon,683,685,Sussex
Berhthun,South Saxon,685,,Sussex
Andhun,South Saxon,685,,Sussex
Noðhelm and Watt,Wessex,692,700,Sussex
Noðhelm and Bryni,Wessex,700,710,Sussex
Noðhelm and Osric,Wessex,710,717,Sussex
Noðhelm and Æðelstan,Wessex,717,717,Sussex
Æðelstan,Wessex,717,724,Sussex
,Wessex,724,726,Sussex
,,726,740,Sussex
Æðelbehrt,Wessex,740,,Sussex
Osmund,Wessex,760,765,Sussex
"Ælfwald, Oslac and Osmund",Wessex,765,771,Sussex
"Ælfwald, Ealdwulf, Oslac and Osmund",Mercia,771,772,Sussex
"Ælfwald, Ealdwulf, Oslac, Osmund and Oswald",Mercia,772,772,Sussex
Ealdwulf,Mercia,772,791,Sussex
,,791,825,Sussex
Cerdic,Gewissae,519,534,Wessex
Cynric,Gewissae,534,560,Wessex
Ceawlin,Gewissae,560,591,Wessex
Ceol,Gewissae,591,597,Wessex
Ceolwulf,Gewissae,597,611,Wessex
Cynegils,Gewissae,611,643,Wessex
Cwichelm,Gewissae,626,636,Wessex
Cenwalh,Gewissae,643,645,Wessex
Penda,Mercia,645,648,Wessex
Cenwalh,Cerdicing,648,672,Wessex
Cenwalh and Seaxburh,Cerdicing,672,674,Wessex
Cenfus,Cerdicing,674,674,Wessex
Æscwine,Cerdicing,674,676,Wessex
Centwine,Cerdicing,676,685,Wessex
Caedwalla,Cerdicing,685,688,Wessex
Ine,Cerdicing,688,726,Wessex
Æthelheard,Cerdicing,726,740,Wessex
Cuthred,Cerdicing,740,756,Wessex
Sigeberht,Cerdicing,756,757,Wessex
Cynewulf,Cerdicing,757,786,Wessex
Beorhtric,Cerdicing,786,802,Wessex
Ecgbehrt,Cerdicing,802,825,Wessex
Æthelbald,Cerdicing,858,860,Wessex
Æthelbret,Cerdicing,860,865,Wessex
Alfred the Great,Cerdicing,871,899,Wessex
Edward the Elder,Cerdicing,899,924,Wessex
Ælfweard,Cerdicing,924,924,Wessex
Æthelstan,Cerdicing,924,927,Wessex
Æthelstan,Wessex,927,939,England
Edmund I,Wessex,939,946,England
Eadred,Wessex,946,955,England
Eadwig,Wessex,955,959,England
Edgar the Peaceful,Wessex,959,975,England
Edward the Martyr,Wessex,975,978,England
Æthelred the Unready,Wessex,978,1013,England
Sweyn Forkbeard,Knýtlinga,1013,1014,England
Æthelred the Unready,Wessex,1014,1016,England
Edmund Ironside,Wessex,1016,1016,England
Cnut,Knýtlinga,1016,1035,England
Harold Harefoot,Knýtlinga,1035,1040,England
Harthacnut,Knýtlinga,1040,1042,England
Edward the Confessor,Wessex,1042,1066,England
Harold Godwinson,Wessex,1066,1066,England
Edgar the Ætheling,Wessex,1066,1066,England
William I,Normandy,1066,1087,England
William II,Normandy,1087,1100,England
Henry I,Normandy,1100,1135,England
Stephen,Normandy,1135,1141,England
Matilda,Plantagenet/Angevin,1141,1141,England
Stephen,Normandy,1141,1154,England
Henry II,Plantagenet/Angevin,1154,1189,England
Richard I,Plantagenet/Angevin,1189,1199,England
